aas	2.5	0.80623	[2, 3, 3, 4, 1, 2, 3, 2, 2, 3]	et: 0.30434784293174744
aayf	2.7	0.78102	[2, 3, 2, 4, 3, 2, 2, 3, 4, 2]	ar: 1
afu	-2.9	0.83066	[-3, -3, -3, -3, -3, -1, -4, -4, -2, -3]	zh-CN: 0.7528957724571228
alol	2.8	0.74833	[2, 2, 2, 3, 3, 2, 3, 4, 4, 3]	ny: 0.69140625
ambw	2.9	0.7	[2, 3, 4, 2, 3, 2, 3, 3, 4, 3]	en: 0.3033384084701538
aml	3.4	0.66332	[4, 3, 2, 4, 3, 3, 4, 4, 3, 4]	cy: 0.8527131676673889
atab	-1.9	1.22066	[-2, 0, -1, -2, -1, -1, -2, -4, -4, -2]	uz: 0.96875
awol	-1.3	0.78102	[0, -1, -1, -1, -1, -1, -2, -2, -3, -1]	en: 0.7109375
ayc	0.2	0.9798	[0, 1, -1, 1, 0, 1, 0, -1, 2, -1]	en: 0.7961400747299194
ayor	-1.2	0.6	[-1, -1, -2, -2, -1, -1, -1, 0, -2, -1]	id: 0.43707871437072754
bfd	-2.7	0.78102	[-3, -2, -4, -2, -3, -2, -3, -2, -4, -2]	en: 1
bfe	-2.6	1.35647	[-3, -3, -4, -2, -3, -2, 1, -3, -4, -3]	da: 0.2107466459274292
bff	2.9	0.83066	[3, 3, 4, 2, 4, 2, 2, 3, 4, 2]	en: 0.6141732931137085
bffn	1.0	0.89443	[2, 1, -1, 1, 0, 1, 2, 1, 2, 1]	is: 0.5010919570922852
bl	2.3	1.1	[2, 1, 4, 1, 2, 2, 4, 3, 1, 3]	mt: 0.7588933110237122
bsod	-2.2	1.07703	[-1, -4, -3, -3, 0, -2, -3, -2, -2, -2]	en: 0.6086956262588501
btd	-2.1	0.83066	[-1, -2, -3, -3, -3, -1, -3, -2, -1, -2]	en: 0.9418774843215942
btdt	-0.1	1.22066	[0, -1, 0, -1, 0, 3, 1, -1, -1, -1]	da: 0.43367284536361694
bz	0.4	1.35647	[-1, 0, 0, 0, 4, 1, -1, 1, 0, 0]	en: 0.37890625
b ^ d	2.6	0.8	[3, 2, 2, 4, 3, 1, 3, 3, 3, 2]	en: 0.8837078809738159
cwot	-2.3	0.45826	[-3, -2, -2, -2, -2, -3, -2, -3, -2, -2]	en: 0.5858069658279419
re-&#39;:	-2.5	0.67082	[-3, -3, -2, -2, -2, -4, -2, -3, -2, -2]	en: 0.5615383982658386
d8	-3.2	0.6	[-3, -3, -3, -3, -4, -4, -2, -3, -3, -4]	vi: 0.48596078157424927
re:	-2.9	0.83066	[-3, -3, -3, -3, -2, -4, -1, -3, -3, -4]	en: 0.5615383982658386
d: &lt;	-3.2	0.9798	[-4, -4, -4, -1, -3, -3, -4, -2, -3, -4]	en: 1
re;	-2.9	0.83066	[-1, -3, -3, -3, -3, -4, -2, -3, -3, -4]	en: 0.5615383982658386
d =	-3.0	0.89443	[-4, -3, -3, -3, -2, -4, -1, -3, -3, -4]	en: 0.3320158123970032
doa	-2.3	1.00499	[-2, -3, -3, -2, -2, -2, -4, 0, -2, -3]	id: 0.33984375
dx	-3.0	0.63246	[-3, -2, -3, -3, -4, -3, -4, -2, -3, -3]	en: 0.46875
ez	1.5	0.67082	[3, 2, 2, 1, 1, 1, 2, 1, 1, 1]	hu: 0.53125
fcol	-1.8	0.74833	[-2, -2, -1, -2, -1, -2, -1, -3, -3, -1]	en: 0.29884910583496094
ff	1.8	1.249	[4, 2, 1, 2, 1, 3, 3, 0, 2, 0]	nl: 0.3448275923728943
ffs	-2.8	0.9798	[-2, -2, -3, -3, -2, -4, -4, -4, -1, -3]	sv: 0.859375
fkm	-2.4	1.35647	[-4, -1, -4, -2, -2, -3, -1, 0, -3, -4]	pt: 0.2652832269668579
foaf	1.8	1.249	[2, 1, 2, 0, 4, 1, 1, 1, 2, 4]	en: 1
ftw	2.0	0.7746	[2, 1, 1, 2, 2, 2, 3, 3, 1, 3]	en: 0.8984375
fu	-3.7	0.45826	[-3, -4, -4, -3, -3, -4, -4, -4, -4, -4]	zh-CN: 0.8203125
fubar	-3.0	1.09545	[-4, -3, -3, -4, -3, -3, -3, -4, 0, -3]	en: 1
fwb	2.5	1.43178	[2, 3, 4, 0, 1, 2, 4, 1, 4, 4]	hmn: 0.921875
fyi	0.8	1.66132	[0, 1, 0, -1, 0, 0, 4, 4, 0, 0]	en: 0.8482490181922913
